name,url,status,owner,repo,kind,archived,disabled,default_branch,pushed_at,last_pr_number,last_pr_created_at,last_pr_merged_at,latest_release_tag,latest_release_at,pushed_last_active_window,pr_last_active_window,release_last_active_window,last_event_at,classification,contributors_count,error
github_com_oeg_upm_dbpedia_downloader,https://github.com/oeg-upm/DBpedia-downloader,processed,oeg-upm,DBpedia-downloader,project,False,False,master,2020-07-16T11:06:42+00:00,,,,,,False,False,False,2020-07-16T11:06:42+00:00,inactive,0,
github_com_oeg_upm_declarative_functions,https://github.com/oeg-upm/declarative-functions,processed,oeg-upm,declarative-functions,project,False,False,master,2019-11-06T11:11:51+00:00,,,,,,False,False,False,2019-11-06T11:11:51+00:00,inactive,0,
github_com_oeg_upm_delta_cims_monitor,https://github.com/oeg-upm/delta-cims-monitor,processed,oeg-upm,delta-cims-monitor,project,False,False,master,2020-10-13T10:42:24+00:00,,,,#0.1.0,2020-10-13T10:42:24+00:00,False,False,False,2020-10-13T10:42:24+00:00,inactive,0,
github_com_oeg_upm_delta_ontology,https://github.com/oeg-upm/delta-ontology,processed,oeg-upm,delta-ontology,project,False,False,master,2021-04-30T10:06:44+00:00,6,2021-04-30T10:06:37+00:00,2021-04-30T10:06:44+00:00,,,False,False,False,2021-04-30T10:06:44+00:00,inactive,0,
github_com_oeg_upm_deltacimapp,https://github.com/oeg-upm/DeltaCimApp,processed,oeg-upm,DeltaCimApp,project,False,False,master,2022-12-06T23:54:45+00:00,50,2022-12-06T23:54:44+00:00,,2.2.5,2021-04-06T15:54:16+00:00,False,False,False,2022-12-06T23:54:45+00:00,inactive,0,
github_com_oeg_upm_devops_infra,https://github.com/oeg-upm/devops-infra,processed,oeg-upm,devops-infra,project,False,False,master,2023-02-06T15:03:02+00:00,2,2023-02-06T14:56:25+00:00,2023-02-06T15:03:02+00:00,1.0.0,2021-04-19T15:33:02+00:00,False,False,False,2023-02-06T15:03:02+00:00,inactive,0,
github_com_oeg_upm_devos,https://github.com/oeg-upm/Devos,processed,oeg-upm,Devos,project,False,False,main,2023-02-16T02:53:29+00:00,6,2023-02-03T00:15:32+00:00,2023-02-03T00:15:58+00:00,v1.0.1,2023-02-04T00:55:40+00:00,False,False,False,2023-02-16T02:53:29+00:00,inactive,0,
github_com_oeg_upm_dia_conversational_agent,https://github.com/oeg-upm/dia-conversational-agent,processed,oeg-upm,dia-conversational-agent,project,False,False,main,2026-07-08T14:46:38+00:00,29,2026-07-08T07:41:49+00:00,2026-07-08T14:46:38+00:00,,,True,True,False,2026-07-08T14:46:38+00:00,active,6,
github_com_oeg_upm_diot,https://github.com/oeg-upm/DIoT,processed,oeg-upm,DIoT,project,False,False,main,2021-09-30T11:41:02+00:00,4,2021-06-30T10:09:32+00:00,2021-06-30T10:10:37+00:00,,,False,False,False,2021-09-30T11:41:02+00:00,inactive,0,
github_com_oeg_upm_doccano_formatter,https://github.com/oeg-upm/doccano_formatter,processed,oeg-upm,doccano_formatter,project,False,False,main,2021-08-31T13:40:53+00:00,,,,,,False,False,False,2021-08-31T13:40:53+00:00,inactive,0,
github_com_oeg_upm_docker_freeling4,https://github.com/oeg-upm/docker-freeling4,processed,oeg-upm,docker-freeling4,project,False,False,main,2021-10-26T12:34:29+00:00,,,,,,False,False,False,2021-10-26T12:34:29+00:00,inactive,0,
github_com_oeg_upm_docker_geokettle_x3geo,https://github.com/oeg-upm/docker-geokettle-x3geo,processed,oeg-upm,docker-geokettle-x3geo,project,False,False,master,2017-08-17T06:01:08+00:00,,,,,,False,False,False,2017-08-17T06:01:08+00:00,inactive,0,
github_com_oeg_upm_doi_extractor_oeg,https://github.com/oeg-upm/DOI-Extractor-OEG,processed,oeg-upm,DOI-Extractor-OEG,project,False,False,main,2025-02-07T10:07:15+00:00,2,2025-02-05T10:59:06+00:00,2025-02-07T10:07:15+00:00,,,False,False,False,2025-02-07T10:07:15+00:00,low_activity,0,
github_com_oeg_upm_drugs4covid19,https://github.com/oeg-upm/drugs4covid19,processed,oeg-upm,drugs4covid19,project,False,False,master,2020-05-23T00:58:51+00:00,,,,,,False,False,False,2020-05-23T00:58:51+00:00,inactive,0,
github_com_oeg_upm_drugs4covid19_cs,https://github.com/oeg-upm/drugs4covid19-cs,processed,oeg-upm,drugs4covid19-cs,project,False,False,master,2020-04-25T08:28:56+00:00,,,,,,False,False,False,2020-04-25T08:28:56+00:00,inactive,0,
github_com_oeg_upm_drugs4covid19_kg,https://github.com/oeg-upm/drugs4covid19-kg,processed,oeg-upm,drugs4covid19-kg,project,False,False,master,2023-11-12T01:56:58+00:00,8,2023-11-12T01:56:57+00:00,,,,False,False,False,2023-11-12T01:56:58+00:00,inactive,0,
github_com_oeg_upm_drugs4covid19_nlp,https://github.com/oeg-upm/drugs4covid19-nlp,processed,oeg-upm,drugs4covid19-nlp,project,False,False,master,2020-04-26T15:32:11+00:00,,,,,,False,False,False,2020-04-26T15:32:11+00:00,inactive,0,
github_com_oeg_upm_drugs4covid19_vocab,https://github.com/oeg-upm/drugs4covid19-vocab,processed,oeg-upm,drugs4covid19-vocab,project,False,False,master,2020-07-16T08:35:53+00:00,20,2020-04-26T16:44:32+00:00,2020-04-26T16:46:23+00:00,,,False,False,False,2020-07-16T08:35:53+00:00,inactive,0,
github_com_oeg_upm_drugs4covid19web,https://github.com/oeg-upm/drugs4covid19web,processed,oeg-upm,drugs4covid19web,project,False,False,master,2021-03-12T12:33:43+00:00,4,2021-03-12T12:33:42+00:00,,,,False,False,False,2021-03-12T12:33:43+00:00,inactive,0,
github_com_oeg_upm_easysparql,https://github.com/oeg-upm/easysparql,processed,oeg-upm,easysparql,project,False,False,master,2022-06-15T23:54:06+00:00,4,2021-09-02T13:44:07+00:00,2021-09-02T13:44:16+00:00,v1.6.2,2022-06-15T23:49:37+00:00,False,False,False,2022-06-15T23:54:06+00:00,inactive,0,
github_com_oeg_upm_easytv_annotator,https://github.com/oeg-upm/easytv-annotator,processed,oeg-upm,easytv-annotator,project,False,False,master,2020-08-17T17:49:12+00:00,5,2020-07-01T17:56:33+00:00,,,,False,False,False,2020-08-17T17:49:12+00:00,inactive,0,
github_com_oeg_upm_easytv_annotator_webservice,https://github.com/oeg-upm/easytv-annotator-webservice,processed,oeg-upm,easytv-annotator-webservice,project,False,False,master,2020-09-10T14:06:46+00:00,,,,,,False,False,False,2020-09-10T14:06:46+00:00,inactive,0,
github_com_oeg_upm_easytv_onto,https://github.com/oeg-upm/easytv-onto,processed,oeg-upm,easytv-onto,project,False,False,master,2021-05-20T09:36:12+00:00,18,2019-07-03T16:52:31+00:00,2019-07-03T16:52:55+00:00,release0.0.1,2018-09-05T10:40:01+00:00,False,False,False,2021-05-20T09:36:12+00:00,inactive,0,
github_com_oeg_upm_easytv_resources,https://github.com/oeg-upm/easytv-resources,processed,oeg-upm,easytv-resources,project,False,False,master,2020-08-17T17:50:04+00:00,,,,,,False,False,False,2020-08-17T17:50:04+00:00,inactive,0,
github_com_oeg_upm_easytv_semantic_annotator,https://github.com/oeg-upm/easytv-semantic-annotator,processed,oeg-upm,easytv-semantic-annotator,project,False,False,main,2020-10-06T13:43:11+00:00,,,,,,False,False,False,2020-10-06T13:43:11+00:00,inactive,0,
github_com_oeg_upm_eelisa_lt_workshop,https://github.com/oeg-upm/eelisa-lt-workshop,processed,oeg-upm,eelisa-lt-workshop,project,False,False,main,2024-03-08T09:51:10+00:00,,,,,,False,False,False,2024-03-08T09:51:10+00:00,inactive,0,
github_com_oeg_upm_epw2csv,https://github.com/oeg-upm/epw2csv,processed,oeg-upm,epw2csv,project,False,False,master,2019-10-11T11:54:37+00:00,,,,,,False,False,False,2019-10-11T11:54:37+00:00,inactive,0,
github_com_oeg_upm_epw2rdf,https://github.com/oeg-upm/epw2rdf,processed,oeg-upm,epw2rdf,project,False,False,master,2023-05-22T22:30:48+00:00,1,2023-05-22T22:30:47+00:00,,,,False,False,False,2023-05-22T22:30:48+00:00,inactive,0,
github_com_oeg_upm_epw2rdf_contents,https://github.com/oeg-upm/epw2rdf-contents,processed,oeg-upm,epw2rdf-contents,project,False,False,master,2021-03-19T23:18:56+00:00,7,2021-03-19T23:18:55+00:00,,,,False,False,False,2021-03-19T23:18:56+00:00,inactive,0,
github_com_oeg_upm_era_shacl_benchmark,https://github.com/oeg-upm/ERA-SHACL-Benchmark,processed,oeg-upm,ERA-SHACL-Benchmark,project,False,False,main,2026-01-16T08:52:29+00:00,14,2026-01-16T08:51:12+00:00,2026-01-16T08:51:28+00:00,,,False,False,False,2026-01-16T08:52:29+00:00,low_activity,0,
github_com_oeg_upm_esuk,https://github.com/oeg-upm/esuk,processed,oeg-upm,esuk,project,False,False,main,2023-07-27T11:05:57+00:00,,,,,,False,False,False,2023-07-27T11:05:57+00:00,inactive,0,
github_com_oeg_upm_ethereum_ontology,https://github.com/oeg-upm/Ethereum-ontology,processed,oeg-upm,Ethereum-ontology,project,False,False,main,2025-12-03T22:15:56+00:00,5,2023-12-04T17:43:22+00:00,2023-12-04T17:44:03+00:00,,,False,False,False,2025-12-03T22:15:56+00:00,low_activity,0,
github_com_oeg_upm_ethereum_smart_contract_downloader,https://github.com/oeg-upm/Ethereum-Smart-Contract-Downloader,processed,oeg-upm,Ethereum-Smart-Contract-Downloader,project,False,False,main,2021-12-02T20:40:03+00:00,,,,Releases,2021-12-02T20:39:09+00:00,False,False,False,2021-12-02T20:40:03+00:00,inactive,0,
